year,level_1,level_2,value
1986,Brides Aged Under 20 Years,Grooms Aged 55-59 Years,0
1986,Brides Aged Under 20 Years,Grooms Aged 60 Years & Over,0
1986,Brides Aged 20-24 Years,Grooms Aged Under 20 Years,15
1986,Brides Aged 20-24 Years,Grooms Aged 20-24 Years,2418
1986,Brides Aged 20-24 Years,Grooms Aged 25-29 Years,3461
1986,Brides Aged 20-24 Years,Grooms Aged 30-34 Years,781
1986,Brides Aged 20-24 Years,Grooms Aged 35-39 Years,110
1986,Brides Aged 20-24 Years,Grooms Aged 40-44 Years,16
1986,Brides Aged 20-24 Years,Grooms Aged 45-49 Years,3
1986,Brides Aged 20-24 Years,Grooms Aged 50-54 Years,4
1986,Brides Aged 20-24 Years,Grooms Aged 55-59 Years,0
1986,Brides Aged 20-24 Years,Grooms Aged 60 Years & Over,0
1986,Brides Aged 25-29 Years,Grooms Aged Under 20 Years,1
1986,Brides Aged 25-29 Years,Grooms Aged 20-24 Years,335
1986,Brides Aged 25-29 Years,Grooms Aged 25-29 Years,3052
1986,Brides Aged 25-29 Years,Grooms Aged 30-34 Years,1719
1986,Brides Aged 25-29 Years,Grooms Aged 35-39 Years,323
1986,Brides Aged 25-29 Years,Grooms Aged 40-44 Years,50
1986,Brides Aged 25-29 Years,Grooms Aged 45-49 Years,23
1986,Brides Aged 25-29 Years,Grooms Aged 50-54 Years,4
1986,Brides Aged 25-29 Years,Grooms Aged 55-59 Years,3
1986,Brides Aged 25-29 Years,Grooms Aged 60 Years & Over,2
1986,Brides Aged 30-34 Years,Grooms Aged Under 20 Years,0
1986,Brides Aged 30-34 Years,Grooms Aged 20-24 Years,30
1986,Brides Aged 30-34 Years,Grooms Aged 25-29 Years,276
1986,Brides Aged 30-34 Years,Grooms Aged 30-34 Years,717
1986,Brides Aged 30-34 Years,Grooms Aged 35-39 Years,359
1986,Brides Aged 30-34 Years,Grooms Aged 40-44 Years,110
1986,Brides Aged 30-34 Years,Grooms Aged 45-49 Years,36
1986,Brides Aged 30-34 Years,Grooms Aged 50-54 Years,9
1986,Brides Aged 30-34 Years,Grooms Aged 55-59 Years,6
1986,Brides Aged 30-34 Years,Grooms Aged 60 Years & Over,2
1986,Brides Aged 35-39 Years,Grooms Aged Under 20 Years,0
1986,Brides Aged 35-39 Years,Grooms Aged 20-24 Years,6
1986,Brides Aged 35-39 Years,Grooms Aged 25-29 Years,30
1986,Brides Aged 35-39 Years,Grooms Aged 30-34 Years,94
1986,Brides Aged 35-39 Years,Grooms Aged 35-39 Years,172
1986,Brides Aged 35-39 Years,Grooms Aged 40-44 Years,101
1986,Brides Aged 35-39 Years,Grooms Aged 45-49 Years,49
1986,Brides Aged 35-39 Years,Grooms Aged 50-54 Years,16
1986,Brides Aged 35-39 Years,Grooms Aged 55-59 Years,7
1986,Brides Aged 35-39 Years,Grooms Aged 60 Years & Over,6
1986,Brides Aged 40-44 Years,Grooms Aged Under 20 Years,0
1986,Brides Aged 40-44 Years,Grooms Aged 20-24 Years,0
1986,Brides Aged 40-44 Years,Grooms Aged 25-29 Years,3
1986,Brides Aged 40-44 Years,Grooms Aged 30-34 Years,9
1986,Brides Aged 40-44 Years,Grooms Aged 35-39 Years,16
1986,Brides Aged 40-44 Years,Grooms Aged 40-44 Years,29
1986,Brides Aged 40-44 Years,Grooms Aged 45-49 Years,31
1986,Brides Aged 40-44 Years,Grooms Aged 50-54 Years,13
1986,Brides Aged 40-44 Years,Grooms Aged 55-59 Years,6
1986,Brides Aged 40-44 Years,Grooms Aged 60 Years & Over,2
1986,Brides Aged 45-49 Years,Grooms Aged Under 20 Years,0
1986,Brides Aged 45-49 Years,Grooms Aged 20-24 Years,0
1986,Brides Aged 45-49 Years,Grooms Aged 25-29 Years,0
1986,Brides Aged 45-49 Years,Grooms Aged 30-34 Years,1
1986,Brides Aged 45-49 Years,Grooms Aged 35-39 Years,4
1986,Brides Aged 45-49 Years,Grooms Aged 40-44 Years,5
1986,Brides Aged 45-49 Years,Grooms Aged 45-49 Years,16
1986,Brides Aged 45-49 Years,Grooms Aged 50-54 Years,10
1986,Brides Aged 45-49 Years,Grooms Aged 55-59 Years,17
1986,Brides Aged 45-49 Years,Grooms Aged 60 Years & Over,11
1986,Brides Aged 50-54 Years,Grooms Aged Under 20 Years,0
1986,Brides Aged 50-54 Years,Grooms Aged 20-24 Years,0
1986,Brides Aged 50-54 Years,Grooms Aged 25-29 Years,0
1986,Brides Aged 50-54 Years,Grooms Aged 30-34 Years,0
1986,Brides Aged 50-54 Years,Grooms Aged 35-39 Years,1
1986,Brides Aged 50-54 Years,Grooms Aged 40-44 Years,3
1986,Brides Aged 50-54 Years,Grooms Aged 45-49 Years,4
1986,Brides Aged 50-54 Years,Grooms Aged 50-54 Years,2
1986,Brides Aged 50-54 Years,Grooms Aged 55-59 Years,8
